ticker,company_name,sector,industry,company_size,source,metadata_source,metadata_source_url,metadata_as_of,business_description,flagship_products,revenue_segments,primary_customers,geographic_exposure,competitive_position,key_static_risks,exchange,currency,country,website,founded_year,headquarters,ipo_year,market_cap
INTC,Intel Corporation,Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/intc,2026-06-17,"Intel (Nasdaq: INTC) designs and manufactures advanced semiconductors that connect and power the modern world. Every day, our engineers create new technologies that enhance and shape the future of computing to enable new possibilities for every customer we serve. Learn more at intel.com.",,,,North America,,,,USD,United States,https://www.intel.com,,"2200 MISSION COLLEGE BOULEVARD, SANTA CLARA, California, 95054-1549, United States",,588293300000.00
IBM,International Business Machines Corporation,Technology,Computer Manufacturing,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/ibm,2026-06-17,"IBM is a leading provider of global hybrid cloud and AI, and consulting expertise. We help clients in more than 175 countries capitalize on insights from their data, streamline business processes, reduce costs and gain the competitive edge in their industries. Thousands of governments and corporate entities in critical infrastructure areas such as financial services, telecommunications and healthcare rely on IBM's hybrid cloud platform and Red Hat OpenShift to affect their digital transformations quickly, efficiently and securely. IBM's breakthrough innovations in AI, quantum computing, industry-specific cloud solutions and consulting deliver open and flexible options to our clients. All of this is backed by IBM's long-standing commitment to trust, transparency, responsibility, inclusivity and service.",,,,North America,,,,USD,United States,https://www.ibm.com,,"ONE NEW ORCHARD ROAD, ARMONK, New York, 10504, United States",,254530332677.00
INTU,Intuit Inc.,Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/intu,2026-06-17,"Intuit is the global financial technology platform that powers prosperity for the people and communities we serve. With approximately 100 million customers worldwide using products such as TurboTax, Credit Karma, QuickBooks, Mailchimp, and Intuit Enterprise Suite, we believe that everyone should have the opportunity to prosper. We never stop working to find new, innovative ways to make that possible.",,,,North America,,,,USD,United States,https://www.intuit.com,,"2700 COAST AVENUE, MOUNTAIN VIEW, California, 94043, United States",1993,76861161630.00
TXN,Texas Instruments Incorporated,Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/txn,2026-06-17,"Texas Instruments Incorporated (Nasdaq: TXN) is a global semiconductor company that designs, manufactures and sells analog and embedded processing chips for markets such as industrial, automotive, data center, personal electronics and communications equipment. At our core, we have a passion to create a better world by making electronics more affordable through semiconductors. This passion is alive today as each generation of innovation builds upon the last to make our technology more reliable, more affordable and lower power, making it possible for semiconductors to go into electronics everywhere.",,,,North America,,,,USD,United States,https://www.ti.com,,"12500 TI BOULEVARD, DALLAS, Texas, 75243, United States",,278224467137.00
QCOM,QUALCOMM Incorporated,Technology,Radio And Television Broadcasting And Communications Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/qcom,2026-06-17,"Qualcomm relentlessly innovates to deliver intelligent computing everywhere, helping the world tackle some of its most important challenges. Building on our 40 years of technology leadership in creating era-defining breakthroughs, we deliver a broad portfolio of solutions built with our leading-edge AI, high-performance, low-power computing, and unrivaled connectivity. Our Snapdragon® platforms power extraordinary consumer experiences, and our Qualcomm Dragonwing products empower businesses and industries to scale to new heights. Together with our ecosystem partners, we enable next-generation digital transformation to enrich lives, improve businesses, and advance societies. At Qualcomm, we are engineering human progress. Qualcomm Incorporated includes our licensing business, QTL, and the vast majority of our patent portfolio. Qualcomm Technologies, Inc.",,,,North America,,,,USD,United States,https://www.qualcomm.com,,"5775 MOREHOUSE DRIVE, SAN DIEGO, California, 92121, United States",1991,225629780000.00
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/amat,2026-06-17,"Applied Materials, Inc. (Nasdaq: AMAT) is the leader in materials engineering solutions that are at the foundation of virtually every new semiconductor and advanced display in the world. The technology we create is essential to advancing AI and accelerating the commercialization of next-generation chips. At Applied, we push the boundaries of science and engineering to deliver material innovation that changes the world.",,,,North America,,,,USD,United States,https://www.appliedmaterials.com,,"3050 BOWERS AVENUE,P.O. BOX 58039, SANTA CLARA, California, 95052-8039, United States",1972,451151566909.00
NOW,"ServiceNow, Inc.",Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/now,2026-06-17,"ServiceNow (NYSE: NOW) is the AI control tower for business reinvention. The ServiceNow AI Platform integrates with any cloud, any model, and any data source to orchestrate how work flows across the enterprise. By unifying legacy systems, departmental tools, cloud applications, and AI agents, ServiceNow provides a single pane of glass that connects intelligence to execution across every corner of business. With more than 100 billion workflows running on the platform each year, ServiceNow helps organizations turn fragmented operations into coordinated, autonomous workflows that deliver measurable results. Learn how ServiceNow puts AI to work for people at www.servicenow.com.",,,,North America,,,,USD,United States,https://www.servicenow.com,,"2225 LAWSON LANE, SANTA CLARA, California, 95054, United States",2012,104471230000.00
ADI,"Analog Devices, Inc.",Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/adi,2026-06-17,"Analog Devices, Inc. (NASDAQ: ADI ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, AI, and software technologies into solutions that combat climate change, reliably connect humans and the world, and help drive advancements in automation and robotics, mobility, healthcare, energy and data centers. With revenue of more than $11 billion in FY25, ADI ensures today's innovators stay Ahead of What's Possible.",,,,North America,,,,USD,United States,https://www.analog.com,,"ONE ANALOG WAY, WILMINGTON, Massachusetts, 01887, United States",,202628208640.00
LRCX,Lam Research Corporation,Technology,Industrial Machinery/Components,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/lrcx,2026-06-17,"Lam Research Corporation is a global supplier of innovative wafer fabrication equipment and services to the semiconductor industry. Lam's equipment and services allow customers to build smaller and better performing devices. In fact, today, nearly every advanced chip is built with Lam technology. We combine superior systems engineering, technology leadership, and a strong values-based culture, with an unwavering commitment to our customers. Lam Research (Nasdaq: LRCX) is a FORTUNE 500® company headquartered in Fremont, Calif., with operations around the globe. Learn more at www.lamresearch.com.",,,,North America,,,,USD,United States,https://www.lamresearch.com,,"4650 CUSHING PARKWAY, FREMONT, California, 94538, United States",1984,461885893140.00
MU,"Micron Technology, Inc.",Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/mu,2026-06-17,"Micron Technology, Inc. is an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence (AI) and compute-intensive applications that unleash opportunities - from the data center to the intelligent edge and across the client and mobile user experience.",,,,North America,,,,USD,United States,https://www.micron.com,,"8000 SOUTH FEDERAL WAY, BOISE, Idaho, 83716-9632, United States",,1151145809899.00
KLAC,KLA Corporation,Technology,Electronic Components,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/klac,2026-06-17,"KLA Corporation ('KLA') develops industry-leading equipment and services that enable innovation throughout the electronics industry. We provide advanced process control and process-enabling solutions for manufacturing wafers and reticles, integrated circuits, packaging and printed circuit boards. In close collaboration with leading customers across the globe, our expert teams of physicists, engineers, data scientists and problem-solvers design solutions that move the world forward.",,,,North America,,,,USD,United States,https://www.kla.com,,"ONE TECHNOLOGY DRIVE, MILPITAS, California, 95035, United States",1980,310018295589.00
CDNS,"Cadence Design Systems, Inc.",Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/cdns,2026-06-17,"Cadence is a market leader in AI and digital twins, pioneering the application of computational software to accelerate innovation in the engineering design of silicon to systems. Our design solutions, based on Cadence's Intelligent System Design strategy, are essential for the world's leading semiconductor and systems companies to build their next-generation products from chips to full electromechanical systems that serve a wide range of markets, including hyperscale computing, mobile communications, automotive, aerospace, industrial, life sciences and robotics. In 2025, Cadence was recognized by Fortune as one of the world's top 100 best companies to work for. Cadence® solutions offer limitless opportunities.",,,,North America,,,,USD,United States,https://www.cadence.com,,"2655 SEELY AVENUE,BUILDING 5, SAN JOSE, California, 95134, United States",,106975235600.00
SNPS,"Synopsys, Inc.",Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/snps,2026-06-17,"Synopsys, Inc. (Nasdaq: SNPS) is the leader in engineering solutions from silicon to systems, enabling customers to rapidly innovate AI-powered products. We deliver industry-leading silicon design, IP, simulation and analysis solutions, and design services. We partner closely with our customers across a wide range of industries to maximize their R&D capability and productivity, powering innovation today that ignites the ingenuity of tomorrow.",,,,North America,,,,USD,United States,https://www.synopsys.com,,"675 ALMANOR AVENUE, SUNNYVALE, California, 94085, United States",1992,85855499744.00
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/mchp,2026-06-17,"Microchip Technology Inc. is a broadline supplier of semiconductors committed to making innovative design easier through total system solutions that address critical challenges at the intersection of emerging technologies and durable end markets. Its easy-to-use development tools and comprehensive product portfolio supports customers throughout the design process, from concept to completion. Headquartered in Chandler, Arizona, Microchip offers outstanding technical support and delivers solutions across the industrial, automotive, consumer, aerospace and defense, communications and computing markets.",,,,North America,,,,USD,United States,https://www.microchip.com,,"2355 W. CHANDLER BLVD., CHANDLER, Arizona, 85224-6199, United States",1993,51839041642.00
FTNT,"Fortinet, Inc.",Technology,Computer peripheral equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/ftnt,2026-06-17,"Fortinet (Nasdaq: FTNT) is a driving force in the evolution of cybersecurity and the convergence of networking and security. Our mission is to secure people, devices and data everywhere, and today we deliver cybersecurity everywhere our customers need it with the largest integrated portfolio of over 50 enterprise-grade products. Well over half a million customers trust Fortinet's solutions, which are among the most deployed, most patented and most validated in the industry. The Fortinet Training Institute, one of the largest and broadest training programs in the industry, is dedicated to making cybersecurity training and new career opportunities available to everyone. Collaboration with esteemed organizations from both the public and private sectors, including Computer Emergency Response Teams ('CERTs'), government entities, and academia, is a fundamental aspect of Fortinet's commitment to enhance cyber resilience globally.",,,,North America,,,,USD,United States,https://www.fortinet.com,,"909 KIFER ROAD, SUNNYVALE, California, 94086, United States",2009,107713966445.00
CRWD,"CrowdStrike Holdings, Inc.",Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/crwd,2026-06-17,"CrowdStrike (NASDAQ: CRWD), a global cybersecurity leader, has redefined modern security with the world's most advanced cloud-native platform for protecting critical areas of enterprise risk - endpoints and cloud workloads, identity and data. Powered by the CrowdStrike Security Cloud and world-class AI, the CrowdStrike Falcon® platform leverages real-time indicators of attack, threat intelligence, evolving adversary tradecraft, and enriched telemetry from across the enterprise to deliver hyper-accurate detections, automated protection and remediation, elite threat hunting, and prioritized observability of vulnerabilities. Purpose-built in the cloud with a single lightweight-agent architecture, the Falcon platform delivers rapid and scalable deployment, superior protection and performance, reduced complexity, and immediate time-to-value. CrowdStrike : We stop breaches.",,,,North America,,,,USD,United States,https://www.crowdstrike.com,,"206 E. 9TH STREET,SUITE 1400, AUSTIN, Texas, 78701, United States",2019,172974249542.00
PANW,"Palo Alto Networks, Inc.",Technology,Computer peripheral equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/panw,2026-06-17,"Palo Alto Networks® (NASDAQ: PANW), the global AI cybersecurity leader, protects our digital way of life with a comprehensive portfolio of cybersecurity solutions and platforms across Network, Cloud, Security Operations, AI and Identity. Trusted by 70,000+ customers and powered by Unit 42® threat intelligence, our AI-driven platforms eliminate complexity, empowering enterprises to modernize with confidence and securing the speed of innovation. Explore the future of security at www.paloaltonetworks.com.",,,,North America,,,,USD,United States,https://www.paloaltonetworks.com,,"3000 TANNERY WAY, SANTA CLARA, California, 95054, United States",,228118500000.00
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/ctsh,2026-06-17,"Cognizant (Nasdaq: CTSH) is an AI Builder and technology services provider, bridging the gap between AI investment and enterprise value by building full-stack AI solutions for our clients. Our deep industry, process and engineering expertise enables us to build an organization's unique context into technology systems that amplify human potential, drive tangible outcomes and keep global enterprises ahead in a fast-changing world. See how at www.cognizant.ai or @cognizant.",,,,North America,,,,USD,United States,https://www.cognizant.com,,"300 FRANK W. BURR BLVD.,SUITE 36,6TH FLOOR, TEANECK, New Jersey, 07666, United States",1998,24191036392.00
IT,"Gartner, Inc.",Consumer Discretionary,Other Consumer Services,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/it,2026-06-17,"Gartner (NYSE: IT) delivers actionable, objective business and technology insights that drive smarter decisions and stronger performance on an organization's mission-critical priorities. To learn more visit gartner.com.",,,,North America,,,,USD,United States,https://www.gartner.com,,"P.O. BOX 10212,56 TOP GALLANT ROAD, STAMFORD, Connecticut, 06902-7700, United States",1993,9523236691.00
EPAM,"EPAM Systems, Inc.",Technology,EDP Services,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/epam,2026-06-17,"EPAM (NYSE:EPAM) is a global leader in AI transformation engineering and integrated consulting, serving Forbes Global 2000 companies and ambitious startups. With over thirty years of expertise in custom software, product and platform engineering, EPAM empowers organizations to become AI-Native enterprises, driving measurable value from innovation and digital investments. Recognized by industry benchmarks and leading analysts as a leader in AI, EPAM delivers globally while engaging locally, making the future real for clients, partners, and employees.",,,,North America,,,,USD,United States,https://www.epam.com,,"41 UNIVERSITY DRIVE,SUITE 202, NEWTOWN, Pennsylvania, 18940, United States",2012,4875974612.00
HPQ,HP Inc.,Technology,Computer Manufacturing,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/hpq,2026-06-17,"HP Inc. (NYSE:HPQ) is a global technology leader redefining the Future of Work. Operating in more than 180 countries, HP delivers innovative and AI-powered devices, software, services and subscriptions that drive business growth and professional fulfillment.",,,,North America,,,,USD,United States,https://www.hp.com,,"1501 PAGE MILL ROAD, PALO ALTO, California, 94304, United States",,22213756140.00
HPE,Hewlett Packard Enterprise Company,Technology,Retail: Computer Software & Peripheral Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/hpe,2026-06-17,"HPE (NYSE: HPE ) is a leader in essential enterprise technology, bringing together the power of AI, cloud, and networking to help organizations achieve more. As pioneers of possibility, our innovation and expertise advance the way people live and work. We empower our customers across industries to optimize operational performance, transform data into foresight, and maximize their impact. Unlock your boldest ambitions with HPE. Discover more at www.hpe.com.",,,,North America,,,,USD,United States,https://www.hpe.com,,"1701 EAST MOSSY OAKS ROAD, SPRING, Texas, 77389, United States",2015,64064966346.00
DELL,Dell Technologies Inc.,Technology,Computer Manufacturing,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/dell,2026-06-17,"Dell Technologies (NYSE: DELL) helps organizations and individuals build their digital future and transform how they work, live and play. The company provides customers with the industrys broadest and most innovative technology and services portfolio for the AI era.",,,,North America,,,,USD,United States,https://www.dell.com,,"ONE DELL WAY, ROUND ROCK, Texas, 78682, United States",2018,261887477003.00
KEYS,Keysight Technologies Inc.,Industrials,Industrial Machinery/Components,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/keys,2026-06-17,"At Keysight (NYSE: KEYS), we inspire and empower innovators to bring world-changing technologies to life. As an S&P 500 company, we're delivering market-leading design, emulation, and test solutions to help engineers develop and deploy faster, with less risk, throughout the entire product life cycle. We're a global innovation partner enabling customers in communications, industrial automation, aerospace and defense, automotive, semiconductor, and general electronics markets to accelerate innovation to connect and secure the world.",,,,North America,,,,USD,United States,https://www.keysight.com,,"1400 FOUNTAINGROVE PARKWAY, SANTA ROSA, California, 95403, United States",2014,59862938457.00
CDW,CDW Corporation,Technology,Retail: Computer Software & Peripheral Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/cdw,2026-06-17,"CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to business, government, education, and healthcare customers in the United States, the United Kingdom, and Canada. A Fortune 500 company and member of the S&P 500 Index, CDW helps its customers to navigate an increasingly complex IT market and maximize return on their technology investments.",,,,North America,,,,USD,United States,https://www.cdw.com,,"200 N. MILWAUKEE AVENUE, VERNON HILLS, Illinois, 60061, United States",2013,16619446441.00
GEN,Gen Digital Inc.,Technology,Computer Software: Prepackaged Software,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/gen,2026-06-17,"Gen (NASDAQ: GEN) is a global company dedicated to powering Digital Freedom through its trusted consumer brands including Norton, Avast, LifeLock, MoneyLion and more. The Gen family of consumer brands is rooted in providing financial empowerment and cyber safety for the first digital generations. Today, Gen empowers people to live their digital lives safely, privately and confidently for generations to come. Gen brings award-winning products and services in cybersecurity, online privacy, identity protection and financial wellness to millions of people in more than 150 countries.",,,,North America,,,,USD,United States,https://www.gendigital.com,,"60 E. RIO SALADO PARKWAY,SUITE 1000, TEMPE, Arizona, 85281, United States",,14801799793.00
FFIV,"F5, Inc.",Telecommunications,Computer Communications Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/ffiv,2026-06-17,"F5, Inc. (NASDAQ: FFIV) is the global leader that delivers and secures every app. Backed by three decades of expertise, F5 has built the industry's premier platform-F5 Application Delivery and Security Platform (ADSP)-to deliver and secure every app, every API, anywhere: on-premises, in the cloud, at the edge, and across hybrid, multicloud environments. F5 is committed to innovating and partnering with the world's largest and most advanced organizations to deliver fast, available, and secure digital experiences. Together, we help each other thrive and bring a better digital world to life.",,,,North America,,,,USD,United States,https://www.f5.com,,"801 5TH AVENUE, SEATTLE, Washington, 98104, United States",1999,21938624196.00
AKAM,"Akamai Technologies, Inc.",Consumer Discretionary,Business Services,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/akam,2026-06-17,"Akamai is the cybersecurity and cloud computing company that powers and protects business online. Our market-leading security solutions, superior threat intelligence, and global operations team provide defense in depth to safeguard enterprise data and applications everywhere. Akamai's full-stack cloud computing solutions deliver performance and affordability on the world's most distributed platform. Global enterprises trust Akamai to provide the industry-leading reliability, scale, and expertise they need to grow their business with confidence.",,,,North America,,,,USD,United States,https://www.akamai.com,,"145 BROADWAY, CAMBRIDGE, Massachusetts, 02142, United States",1999,19235949022.00
ANET,"Arista Networks, Inc.",Telecommunications,Computer Communications Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/anet,2026-06-17,"Arista Networks is an industry leader in data-driven, client-to-cloud networking for large AI, data center, campus, and routing environments. Its platforms deliver availability, agility, automation, analytics, and security through an advanced network operating stack. Arista is an S&P 500 member and was recognized on the 2026 Fortune 500 list of the largest United States corporations by revenue.",,,,North America,,,,USD,United States,https://www.arista.com,,"5453 GREAT AMERICA PARKWAY, SANTA CLARA, California, 95054, United States",,211558627650.00
GLW,Corning Incorporated,Industrials,Telecommunications Equipment,blue_chip,sp500,nasdaq_screener|nasdaq_company_profile,https://www.nasdaq.com/market-activity/stocks/glw,2026-06-17,"Corning ( www.corning.com ) is one of the world's leading innovators in materials science, with a 175-year track record of life-changing inventions. Corning applies its unparalleled expertise in glass science, ceramic science, and optical physics, along with its deep manufacturing and engineering capabilities to develop category-defining products that transform industries and enhance people's lives. Corning succeeds through sustained investment in RD&E, a unique combination of material and process innovation, and deep, trust-based relationships with customers who are global leaders in their industries. Corning's capabilities are versatile and synergistic, which allows the company to evolve to meet changing market needs, while also helping its customers capture new opportunities in dynamic industries. Today, Corning's markets include optical communications, mobile consumer electronics, display, automotive, solar, semiconductors, and life sciences.",,,,North America,,,,USD,United States,https://www.corning.com,,"ONE RIVERFRONT PLAZA, CORNING, New York, 14831, United States",,152694362912.00
